										
Quinnipiac	9/21 - 9/26	1412 RV	47	38	53.3	44.9	2018	D	congressional	
PPP (D)	9/22 - 9/25	865 RV	48	37	53.3	44.9	2018	D	congressional	
Economist/YouGov	9/17 - 9/19	1292 RV	39	33	53.3	44.9	2018	D	congressional	
NBC News/Wall St. Jrnl	9/14 - 9/18	751 RV	48	42	53.3	44.9	2018	D	congressional	
Economist/YouGov	9/10 - 9/12	1313 RV	40	31	53.3	44.9	2018	D	congressional	
Economist/YouGov	9/3 - 9/5	1309 RV	39	33	53.3	44.9	2018	D	congressional	
Economist/YouGov	8/27 - 8/29	1278 RV	40	32	53.3	44.9	2018	D	congressional	
Economist/YouGov	8/20 - 8/22	1327 RV	39	33	53.3	44.9	2018	D	congressional	
Quinnipiac	8/17 - 8/22	1514 RV	50	38	53.3	44.9	2018	D	congressional	
PPP (D)	8/18 - 8/21	887 RV	49	35	53.3	44.9	2018	D	congressional	
GWU/Battleground	8/13 - 8/17	1000 RV	45	38	53.3	44.9	2018	D	congressional	
Economist/YouGov	8/13 - 8/15	1291 RV	41	33	53.3	44.9	2018	D	congressional	
Quinnipiac	8/9 - 8/15	1361 RV	50	40	53.3	44.9	2018	D	congressional	
Marist	8/8 - 8/12	883 RV	47	40	53.3	44.9	2018	D	congressional	
Economist/YouGov	8/6 - 8/8	1303 RV	39	34	53.3	44.9	2018	D	congressional	
CNN	8/3 - 8/6	RV	51	42	53.3	44.9	2018	D	congressional	
Economist/YouGov	7/31 - 8/1	1329 RV	39	34	53.3	44.9	2018	D	congressional	
Quinnipiac	7/27 - 8/1	1125 RV	52	38	53.3	44.9	2018	D	congressional	
Economist/YouGov	7/23 - 7/25	1282 RV	40	34	53.3	44.9	2018	D	congressional	
Economist/YouGov	7/15 - 7/18	1273 RV	40	34	53.3	44.9	2018	D	congressional	
ABC News/Wash Post	7/10 - 7/13	RV	52	38	53.3	44.9	2018	D	congressional	
Economist/YouGov	7/9 - 7/11	1284 RV	39	32	53.3	44.9	2018	D	congressional	
Economist/YouGov	7/3 - 7/4	1323 RV	37	35	53.3	44.9	2018	D	congressional	
FOX News	6/25 - 6/27	1017 RV	47	41	53.3	44.9	2018	D	congressional	
Economist/YouGov	6/25 - 6/27	1295 RV	41	35	53.3	44.9	2018	D	congressional	
Quinnipiac	6/22 - 6/27	1212 RV	51	41	53.3	44.9	2018	D	congressional	
NPR/PBS/Marist	6/21 - 6/25	995 RV	48	38	53.3	44.9	2018	D	congressional	
Economist/YouGov	6/18 - 6/20	1277 RV	38	35	53.3	44.9	2018	D	congressional	
NBC News/Wall St. Jrnl	6/17 - 6/20	765 RV	50	42	53.3	44.9	2018	D	congressional	
Economist/YouGov	6/11 - 6/13	1310 RV	38	36	53.3	44.9	2018	D	congressional	
PPP (D)	6/9 - 6/11	811 RV	50	40	53.3	44.9	2018	D	congressional	
Economist/YouGov	6/4 - 6/6	1288 RV	41	37	53.3	44.9	2018	D	congressional	
Quinnipiac	5/31 - 6/6	1361 RV	51	39	53.3	44.9	2018	D	congressional	
Economist/YouGov	5/27 - 5/30	1269 RV	39	33	53.3	44.9	2018	D	congressional	
Quinnipiac	5/4 - 5/9	1078 RV	54	38	53.3	44.9	2018	D	congressional	
Economist/YouGov	5/20 - 5/23	1276 RV	38	36	53.3	44.9	2018	D	congressional	
Economist/YouGov	5/13 - 5/16	1298 RV	40	33	53.3	44.9	2018	D	congressional	
PPP (D)	5/12 - 5/14	692 RV	49	38	53.3	44.9	2018	D	congressional	
Economist/YouGov	5/6 - 5/9	1287 RV	40	35	53.3	44.9	2018	D	congressional	
Economist/YouGov	4/29 - 5/2	1255 RV	38	35	53.3	44.9	2018	D	congressional	
FOX News	4/23 - 4/25	1009 RV	47	42	53.3	44.9	2018	D	congressional	
Economist/YouGov	4/23 - 4/25	1289 RV	39	34	53.3	44.9	2018	D	congressional	
CNN/ORC	4/22 - 4/25	RV	49	41	53.3	44.9	2018	D	congressional	
NBC News/Wall St. Jrnl	4/17 - 4/20	759 RV	47	43	53.3	44.9	2018	D	congressional	
PPP (D)	4/17 - 4/18	648 RV	47	41	53.3	44.9	2018	D	congressional	
Economist/YouGov	4/15 - 4/18	1291 RV	38	32	53.3	44.9	2018	D	congressional	
Marist	4/11 - 4/12	869 RV	45	38	53.3	44.9	2018	D	congressional	
PPP (D)	3/27 - 3/28	677 RV	48	43	53.3	44.9	2018	D	congressional	
McClatchy/Marist	3/22 - 3/27	906 RV	47	38	53.3	44.9	2018	D	congressional	
PPP (D)	3/10 - 3/12	808 RV	46	41	53.3	44.9	2018	D	congressional	
PPP (D)	2/21 - 2/22	941 RV	46	43	53.3	44.9	2018	D	congressional	
PPP (D)	1/23 - 1/24	1043	48	40	53.3	44.9	2018	D	congressional	
										
										
RCP Average	10/18 - 11/6	--	45.5	48	47.8	50.6	2022	R	congressional	
Trafalgar Group (R)	11/4 - 11/6	1099 LV	43	48	47.8	50.6	2022	R	congressional	
Politico/Morning Consult	11/4 - 11/5	2005 RV	48	43	47.8	50.6	2022	R	congressional	
Economist/YouGov	11/3 - 11/6	1068 LV	48	49	47.8	50.6	2022	R	congressional	
Data for Progress (D)**	11/3 - 11/6	1130 LV	48	52	47.8	50.6	2022	R	congressional	
NBC News	11/3 - 11/5	786 LV	48	47	47.8	50.6	2022	R	congressional	
Rasmussen Reports	10/30 - 11/3	2500 LV	43	48	47.8	50.6	2022	R	congressional	
ABC News/Wash Post	10/30 - 11/2	708 LV	48	50	47.8	50.6	2022	R	congressional	
Economist/YouGov	10/29 - 11/1	1099 LV	49	49	47.8	50.6	2022	R	congressional	
Data for Progress (D)**	10/28 - 10/31	1276 LV	47	51	47.8	50.6	2022	R	congressional	
Newsnation	10/28 - 10/31	1017 RV	43	45	47.8	50.6	2022	R	congressional	
Politico/Morning Consult	10/28 - 10/31	2005 RV	47	42	47.8	50.6	2022	R	congressional	
CNN	10/26 - 10/31	992 LV	47	51	47.8	50.6	2022	R	congressional	
Quinnipiac	10/26 - 10/30	2010 RV	44	48	47.8	50.6	2022	R	congressional	
CBS News Battleground Tracker	10/26 - 10/28	1899 LV	45	47	47.8	50.6	2022	R	congressional	
Trafalgar Group (R)	10/25 - 10/27	1089 LV	42	48	47.8	50.6	2022	R	congressional	
NPR/PBS/Marist	10/24 - 10/27	1200 LV	46	49	47.8	50.6	2022	R	congressional	
InsiderAdvantage	10/25 - 10/25	750 LV	44	48	47.8	50.6	2022	R	congressional	
Rasmussen Reports	10/23 - 10/27	2500 LV	42	49	47.8	50.6	2022	R	congressional	
Wall Street Journal	10/22 - 10/26	1500 RV	44	46	47.8	50.6	2022	R	congressional	
Data for Progress (D)**	10/26 - 10/27	1217 LV	45	49	47.8	50.6	2022	R	congressional	
Economist/YouGov	10/22 - 10/25	1114 LV	49	45	47.8	50.6	2022	R	congressional	
Politico/Morning Consult	10/21 - 10/23	2005 RV	47	42	47.8	50.6	2022	R	congressional	
USA Today/Suffolk	10/19 - 10/24	1000 LV	45	49	47.8	50.6	2022	R	congressional	
Democracy Corps (D)	10/19 - 10/23	LV	48	50	47.8	50.6	2022	R	congressional	
Emerson	10/18 - 10/19	1000 LV	41	46	47.8	50.6	2022	R	congressional	
Rasmussen Reports	10/16 - 10/20	2500 LV	43	47	47.8	50.6	2022	R	congressional	
Economist/YouGov	10/16 - 10/18	1110 LV	46	47	47.8	50.6	2022	R	congressional	
NBC News	10/14 - 10/18	LV	47	48	47.8	50.6	2022	R	congressional	
Monmouth	10/13 - 10/17	756 RV	44	50	47.8	50.6	2022	R	congressional	
Politico/Morning Consult	10/14 - 10/16	2005 RV	45	44	47.8	50.6	2022	R	congressional	
CNBC	10/13 - 10/16	800 RV	46	48	47.8	50.6	2022	R	congressional	
CBS News Battleground Tracker	10/12 - 10/14	1753 LV	45	47	47.8	50.6	2022	R	congressional	
Harvard-Harris	10/12 - 10/13	LV	47	53	47.8	50.6	2022	R	congressional	
Trafalgar Group (R)	10/10 - 10/12	1079 LV	43	48	47.8	50.6	2022	R	congressional	
Data for Progress (D)**	10/6 - 10/18	4576 LV	45	48	47.8	50.6	2022	R	congressional	
Rasmussen Reports	10/9 - 10/13	2500 LV	41	48	47.8	50.6	2022	R	congressional	
NY Times/Siena	10/9 - 10/12	792 LV	45	49	47.8	50.6	2022	R	congressional	
FOX News	10/9 - 10/12	LV	46	47	47.8	50.6	2022	R	congressional	
Economist/YouGov	10/8 - 10/11	1031 LV	48	46	47.8	50.6	2022	R	congressional	
Politico/Morning Consult	10/7 - 10/9	2006 RV	46	42	47.8	50.6	2022	R	congressional	
Federalist/Susquehanna	10/4 - 10/11	800 LV	48	48	47.8	50.6	2022	R	congressional	
InsiderAdvantage	10/3 - 10/3	750 LV	44	47	47.8	50.6	2022	R	congressional	
Rasmussen Reports	10/2 - 10/6	2500 LV	43	47	47.8	50.6	2022	R	congressional	
Economist/YouGov	10/1 - 10/3	1042 LV	47	46	47.8	50.6	2022	R	congressional	
Politico/Morning Consult	9/30 - 10/2	2005 RV	46	43	47.8	50.6	2022	R	congressional	
NPR/Marist	9/27 - 9/29	1293 LV	48	45	47.8	50.6	2022	R	congressional	
Newsnation	9/26 - 9/29	1017 RV	45	44	47.8	50.6	2022	R	congressional	
Rasmussen Reports	9/25 - 9/29	2500 LV	44	45	47.8	50.6	2022	R	congressional	
Trafalgar Group (R)	9/25 - 9/27	1084 LV	46	51	47.8	50.6	2022	R	congressional	
Economist/YouGov	9/24 - 9/27	1054 LV	46	47	47.8	50.6	2022	R	congressional	
Data for Progress (D)**	9/16 - 10/3	7380 LV	45	47	47.8	50.6	2022	R	congressional	
Susquehanna	9/21 - 9/27	881 LV	43	44	47.8	50.6	2022	R	congressional	
Politico/Morning Consult	9/23 - 9/25	2005 RV	45	43	47.8	50.6	2022	R	congressional	
Monmouth	9/21 - 9/25	750 RV	45	47	47.8	50.6	2022	R	congressional	
CBS News Battleground Tracker	9/21 - 9/23	1954 LV	45	46	47.8	50.6	2022	R	congressional	
Grinnell/Selzer	9/20 - 9/25	563 LV	46	42	47.8	50.6	2022	R	congressional	
Emerson	9/20 - 9/21	1368 LV	45	45	47.8	50.6	2022	R	congressional	
ABC News/Wash Post	9/18 - 9/21	LV	46	51	47.8	50.6	2022	R	congressional	
Democracy Corps (D)	9/9 - 10/15	LV	51	48	47.8	50.6	2022	R	congressional	
CNN	9/3 - 10/5	1198 LV	50	47	47.8	50.6	2022	R	congressional	
Rasmussen Reports	9/18 - 9/22	2500 LV	42	44	47.8	50.6	2022	R	congressional	
Economist/YouGov	9/17 - 9/20	1318 RV	45	40	47.8	50.6	2022	R	congressional	
Politico/Morning Consult	9/16 - 9/18	2005 RV	46	41	47.8	50.6	2022	R	congressional	
NBC News	9/9 - 9/13	1000 RV	46	46	47.8	50.6	2022	R	congressional	
Rasmussen Reports	9/11 - 9/15	2500 LV	42	43	47.8	50.6	2022	R	congressional	
Economist/YouGov	9/10 - 9/13	1307 RV	43	39	47.8	50.6	2022	R	congressional	
FOX News	9/9 - 9/12	1201 RV	44	41	47.8	50.6	2022	R	congressional	
NY Times/Siena	9/6 - 9/14	1399 RV	46	44	47.8	50.6	2022	R	congressional	
Politico/Morning Consult	9/9 - 9/11	2006 RV	47	42	47.8	50.6	2022	R	congressional	
Trafalgar Group (R)	9/7 - 9/9	1081 LV	42	48	47.8	50.6	2022	R	congressional	
Harvard-Harris	9/7 - 9/8	1885 RV	51	49	47.8	50.6	2022	R	congressional	
Data for Progress (D)**	8/29 - 9/15	4258 LV	45	47	47.8	50.6	2022	R	congressional	
Rasmussen Reports	9/4 - 9/8	2500 LV	42	46	47.8	50.6	2022	R	congressional	
Economist/YouGov	9/3 - 9/6	1337 RV	44	38	47.8	50.6	2022	R	congressional	
InsiderAdvantage	9/1 - 9/1	500 LV	45	44	47.8	50.6	2022	R	congressional	
NPR/PBS/Marist	8/29 - 9/1	1151 RV	48	44	47.8	50.6	2022	R	congressional	
Rasmussen Reports	8/28 - 9/1	2500 LV	42	47	47.8	50.6	2022	R	congressional	
Trafalgar Group (R)	8/28 - 8/30	1084 LV	41	47	47.8	50.6	2022	R	congressional	
Economist/YouGov	8/28 - 8/30	1342 RV	46	38	47.8	50.6	2022	R	congressional	
Quinnipiac	8/25 - 8/29	1419 RV	47	43	47.8	50.6	2022	R	congressional	
Politico/Morning Consult	8/26 - 8/28	2007 RV	47	42	47.8	50.6	2022	R	congressional	
CBS News Battleground Tracker	8/24 - 8/26	1854 LV	45	47	47.8	50.6	2022	R	congressional	
Emerson	8/23 - 8/24	1000 RV	44	45	47.8	50.6	2022	R	congressional	
Newsnation	8/22 - 8/23	1028 RV	42	45	47.8	50.6	2022	R	congressional	
Rasmussen Reports	8/21 - 8/25	2500 LV	42	47	47.8	50.6	2022	R	congressional	
Wall Street Journal	8/17 - 8/25	1313 RV	47	44	47.8	50.6	2022	R	congressional	
Economist/YouGov	8/21 - 8/23	1318 RV	44	39	47.8	50.6	2022	R	congressional	
Data for Progress (D)**	8/12 - 8/28	8876 LV	45	46	47.8	50.6	2022	R	congressional	
Politico/Morning Consult	8/19 - 8/21	2005 RV	47	42	47.8	50.6	2022	R	congressional	
Rasmussen Reports	8/14 - 8/18	2500 LV	41	46	47.8	50.6	2022	R	congressional	
Trafalgar Group (R)	8/14 - 8/16	1091 LV	42	47	47.8	50.6	2022	R	congressional	
NBC News	8/12 - 8/16	1000 RV	45	47	47.8	50.6	2022	R	congressional	
Politico/Morning Consult	8/12 - 8/14	2005 RV	46	42	47.8	50.6	2022	R	congressional	
Economist/YouGov	8/13 - 8/16	1315 RV	45	39	47.8	50.6	2022	R	congressional	
Rasmussen Reports	8/7 - 8/11	2500 LV	43	46	47.8	50.6	2022	R	congressional	
Economist/YouGov	8/7 - 8/9	1331 RV	44	38	47.8	50.6	2022	R	congressional	
FOX News	8/6 - 8/9	1002 RV	41	41	47.8	50.6	2022	R	congressional	
Politico/Morning Consult	8/5 - 8/7	2005 RV	44	43	47.8	50.6	2022	R	congressional	
Rasmussen Reports	7/31 - 8/4	2500 LV	43	46	47.8	50.6	2022	R	congressional	
InsiderAdvantage	7/31 - 8/1	800 LV	44	45	47.8	50.6	2022	R	congressional	
Economist/YouGov	7/28 - 8/2	1325 RV	44	39	47.8	50.6	2022	R	congressional	
Monmouth	7/28 - 8/1	751 RV	49	46	47.8	50.6	2022	R	congressional	
Politico/Morning Consult	7/29 - 7/31	2006 RV	45	43	47.8	50.6	2022	R	congressional	
CBS News Battleground Tracker	7/27 - 7/29	1537 LV	43	45	47.8	50.6	2022	R	congressional	
Harvard-Harris	7/27 - 7/28	1885 RV	50	50	47.8	50.6	2022	R	congressional	
Rasmussen Reports	7/24 - 7/28	2500 LV	41	46	47.8	50.6	2022	R	congressional	
Economist/YouGov	7/23 - 7/26	1311 RV	44	38	47.8	50.6	2022	R	congressional	
USA Today/Suffolk	7/22 - 7/25	1000 RV	44	40	47.8	50.6	2022	R	congressional	
Politico/Morning Consult	7/22 - 7/24	2006 RV	45	41	47.8	50.6	2022	R	congressional	
Newsnation	7/22 - 7/24	1000 RV	44	43	47.8	50.6	2022	R	congressional	
Trafalgar Group (R)	7/20 - 7/22	1085 LV	40	48	47.8	50.6	2022	R	congressional	
Emerson	7/19 - 7/20	1078 RV	44	45	47.8	50.6	2022	R	congressional	
Data for Progress (D)**	7/13 - 7/25	1353 LV	45	48	47.8	50.6	2022	R	congressional	
Rasmussen Reports	7/17 - 7/21	2500 LV	39	49	47.8	50.6	2022	R	congressional	
GU Politics/Battleground	7/16 - 7/20	800 LV	48	46	47.8	50.6	2022	R	congressional	
Economist/YouGov	7/16 - 7/19	1278 RV	43	40	47.8	50.6	2022	R	congressional	
Quinnipiac	7/14 - 7/18	1367 RV	45	44	47.8	50.6	2022	R	congressional	
Politico/Morning Consult	7/15 - 7/17	2005 RV	45	41	47.8	50.6	2022	R	congressional	
Democracy Corps (D)	7/8 - 7/16	LV	48	51	47.8	50.6	2022	R	congressional	
FOX News	7/10 - 7/13	1001 RV	41	44	47.8	50.6	2022	R	congressional	
Rasmussen Reports	7/10 - 7/14	2500 LV	39	47	47.8	50.6	2022	R	congressional	
Economist/YouGov	7/9 - 7/11	1304 RV	43	40	47.8	50.6	2022	R	congressional	
Politico/Morning Consult	7/8 - 7/10	2005 RV	46	42	47.8	50.6	2022	R	congressional	
CNBC	7/7 - 7/10	RV	42	44	47.8	50.6	2022	R	congressional	
NY Times/Siena	7/5 - 7/7	LV	43	44	47.8	50.6	2022	R	congressional	
InsiderAdvantage	7/5 - 7/6	825 LV	42	50	47.8	50.6	2022	R	congressional	
Rasmussen Reports	7/5 - 7/7	2000 LV	40	48	47.8	50.6	2022	R	congressional	
Economist/YouGov**	7/2 - 7/5	1345 RV	43	40	47.8	50.6	2022	R	congressional	
Data for Progress (D)**	7/1 - 7/5	1353 LV	45	46	47.8	50.6	2022	R	congressional	
CNN	6/13 - 7/13	1203 RV	46	46	47.8	50.6	2022	R	congressional	
Monmouth	6/23 - 6/27	910 RV	46	48	47.8	50.6	2022	R	congressional	
Harvard-Harris	6/28 - 6/29	1308 RV	50	50	47.8	50.6	2022	R	congressional	
Emerson	6/28 - 6/29	1271 RV	43	46	47.8	50.6	2022	R	congressional	
Rasmussen Reports	6/26 - 6/30	2500 LV	42	47	47.8	50.6	2022	R	congressional	
Economist/YouGov	6/25 - 6/28	1359 RV	40	45	47.8	50.6	2022	R	congressional	
Politico/Morning Consult	6/24 - 6/25	2005 RV	45	42	47.8	50.6	2022	R	congressional	
NPR/PBS/Marist	6/24 - 6/25	868 RV	48	41	47.8	50.6	2022	R	congressional	
Trafalgar Group (R)	6/20 - 6/23	1079 RV	40	49	47.8	50.6	2022	R	congressional	
Newsnation	6/20 - 6/21	1006 RV	43	43	47.8	50.6	2022	R	congressional	
Rasmussen Reports	6/19 - 6/23	2500 LV	40	48	47.8	50.6	2022	R	congressional	
Economist/YouGov	6/18 - 6/21	1290 RV	41	45	47.8	50.6	2022	R	congressional	
Politico/Morning Consult	6/17 - 6/20	2004 RV	42	42	47.8	50.6	2022	R	congressional	
Rasmussen Reports	6/12 - 6/16	2500 LV	41	46	47.8	50.6	2022	R	congressional	
USA Today/Suffolk	6/12 - 6/15	1000 RV	40	40	47.8	50.6	2022	R	congressional	
Economist/YouGov	6/11 - 6/14	1304 RV	42	46	47.8	50.6	2022	R	congressional	
FOX News	6/10 - 6/13	1002 RV	44	47	47.8	50.6	2022	R	congressional	
Politico/Morning Consult	6/10 - 6/12	2005 RV	44	42	47.8	50.6	2022	R	congressional	
Democracy Corps (D)	6/4 - 6/12	LV	46	51	47.8	50.6	2022	R	congressional	
Rasmussen Reports	6/5 - 6/9	2500 LV	39	48	47.8	50.6	2022	R	congressional	
Economist/YouGov	6/4 - 6/7	1314 RV	43	45	47.8	50.6	2022	R	congressional	
Quinnipiac	6/3 - 6/6	1413 RV	41	46	47.8	50.6	2022	R	congressional	
Politico/Morning Consult	6/4 - 6/5	2006 RV	42	42	47.8	50.6	2022	R	congressional	
Rasmussen Reports	5/29 - 6/2	2500 LV	40	48	47.8	50.6	2022	R	congressional	
Economist/YouGov	5/28 - 5/31	1280 RV	43	43	47.8	50.6	2022	R	congressional	
Rasmussen Reports	5/22 - 5/26	2500 LV	41	47	47.8	50.6	2022	R	congressional	
Emerson	5/24 - 5/25	1148 RV	42	45	47.8	50.6	2022	R	congressional	
Economist/YouGov	5/21 - 5/24	1332 RV	41	45	47.8	50.6	2022	R	congressional	
Politico/Morning Consult	5/20 - 5/22	2005 RV	45	41	47.8	50.6	2022	R	congressional	
Harvard-Harris	5/18 - 5/19	1963 RV	49	51	47.8	50.6	2022	R	congressional	
Rasmussen Reports	5/15 - 5/19	2500 LV	39	48	47.8	50.6	2022	R	congressional	
Economist/YouGov	5/15 - 5/17	1342 RV	43	40	47.8	50.6	2022	R	congressional	
Politico/Morning Consult	5/13 - 5/16	2005 RV	44	42	47.8	50.6	2022	R	congressional	
Quinnipiac	5/12 - 5/16	1421 RV	43	47	47.8	50.6	2022	R	congressional	
NPR/PBS/Marist	5/9 - 5/13	1213 RV	47	42	47.8	50.6	2022	R	congressional	
NBC News	5/5 - 5/10	790 RV	46	46	47.8	50.6	2022	R	congressional	
Monmouth	5/5 - 5/9	751 RV	43	50	47.8	50.6	2022	R	congressional	
Politico/Morning Consult	5/6 - 5/9	2005 RV	44	42	47.8	50.6	2022	R	congressional	
Economist/YouGov	5/8 - 5/10	1361 RV	51	49	47.8	50.6	2022	R	congressional	
CNN	5/3 - 5/5	645 RV	42	49	47.8	50.6	2022	R	congressional	
Economist/YouGov	4/30 - 5/3	1340 RV	53	47	47.8	50.6	2022	R	congressional	
CNN	4/28 - 5/1	806 RV	44	45	47.8	50.6	2022	R	congressional	
FOX News	4/28 - 5/1	1003 RV	39	46	47.8	50.6	2022	R	congressional	
Politico/Morning Consult	4/29 - 5/2	2000 RV	43	43	47.8	50.6	2022	R	congressional	
Economist/YouGov	4/26 - 4/27	1336 RV	42	39	47.8	50.6	2022	R	congressional	
ABC News/Wash Post	4/24 - 4/28	907 RV	46	45	47.8	50.6	2022	R	congressional	
Emerson	4/25 - 4/26	1000 RV	41	47	47.8	50.6	2022	R	congressional	
Federalist/Susquehanna	4/19 - 4/27	800 LV	39	49	47.8	50.6	2022	R	congressional	
Politico/Morning Consult	4/22 - 4/25	2004 RV	43	42	47.8	50.6	2022	R	congressional	
Quinnipiac	4/21 - 4/25	1409 RV	42	45	47.8	50.6	2022	R	congressional	
Insider Advantage	4/21 - 4/23	750 LV	39	51	47.8	50.6	2022	R	congressional	
NPR/PBS/Marist	4/19 - 4/26	1162 RV	44	47	47.8	50.6	2022	R	congressional	
Harvard-Harris	4/20 - 4/21	1966 RV	50	50	47.8	50.6	2022	R	congressional	
Trafalgar Group (R)	4/18 - 4/20	1077 LV	39	48	47.8	50.6	2022	R	congressional	
Economist/YouGov	4/16 - 4/19	1260 RV	43	38	47.8	50.6	2022	R	congressional	
Politico/Morning Consult	4/15 - 4/17	2005 RV	43	42	47.8	50.6	2022	R	congressional	
Rasmussen Reports	4/10 - 4/14	2500 LV	39	47	47.8	50.6	2022	R	congressional	
Economist/YouGov	4/9 - 4/12	1303 RV	42	39	47.8	50.6	2022	R	congressional	
Politico/Morning Consult	4/8 - 4/11	2005 RV	40	43	47.8	50.6	2022	R	congressional	
Economist/YouGov	4/2 - 4/5	1287 RV	42	38	47.8	50.6	2022	R	congressional	
Politico/Morning Consult	4/1 - 4/4	2003 RV	43	43	47.8	50.6	2022	R	congressional	
Quinnipiac	3/31 - 4/4	1280 RV	43	47	47.8	50.6	2022	R	congressional	
Economist/YouGov	3/26 - 3/29	1313 RV	41	39	47.8	50.6	2022	R	congressional	
Politico/Morning Consult	3/25 - 3/27	2006 RV	42	41	47.8	50.6	2022	R	congressional	
Harvard-Harris	3/23 - 3/24	1990 RV	47	53	47.8	50.6	2022	R	congressional	
NBC News	3/18 - 3/22	790 RV	44	46	47.8	50.6	2022	R	congressional	
Economist/YouGov	3/19 - 3/22	1270 RV	43	39	47.8	50.6	2022	R	congressional	
FOX News	3/18 - 3/21	1004 RV	41	43	47.8	50.6	2022	R	congressional	
Politico/Morning Consult	3/18 - 3/21	2005 RV	42	41	47.8	50.6	2022	R	congressional	
