pollster,date,sampleSize,dvalue,rvalue,year,winner,type,Type
IBD/TIPP,8/2/2018,878,45,45,2018,D,congressional,congressional
Economist/YouGov,7/31/2018,1222,44,40,2018,D,congressional,congressional
Reuters/Ipsos,7/31/2018,1571,42,36,2018,D,congressional,congressional
Rasmussen Reports,7/26/2018,2500,46,40,2018,D,congressional,congressional
Harvard-Harris,7/25/2018,1323,43,36,2018,D,congressional,congressional
Economist/YouGov,7/24/2018,1203,44,38,2018,D,congressional,congressional
Reuters/Ipsos,7/24/2018,1165,42,37,2018,D,congressional,congressional
NPR/PBS/Marist,7/22/2018,923,47,40,2018,D,congressional,congressional
Quinnipiac,7/23/2018,1177,51,39,2018,D,congressional,congressional
Rasmussen Reports,7/19/2018,2500,47,40,2018,D,congressional,congressional
NBC News/Wall St. Jrnl,7/18/2018,900,49,43,2018,D,congressional,congressional
Economist/YouGov,7/17/2018,1272,45,37,2018,D,congressional,congressional
Rasmussen Reports,7/12/2018,2500,46,41,2018,D,congressional,congressional
Reuters/Ipsos,7/17/2018,2357,44,35,2018,D,congressional,congressional
FOX News,7/11/2018,1007,48,40,2018,D,congressional,congressional
Economist/YouGov,7/10/2018,1246,42,38,2018,D,congressional,congressional
Reuters/Ipsos,7/10/2018,1295,47,34,2018,D,congressional,congressional
Emerson,7/7/2018,900,49,42,2018,D,congressional,congressional
Rasmussen Reports,7/5/2018,2500,48,40,2018,D,congressional,congressional
Economist/YouGov,7/3/2018,1263,42,38,2018,D,congressional,congressional
Rasmussen Reports,6/28/2018,2500,46,40,2018,D,congressional,congressional
Reuters/Ipsos,7/2/2018,2252,44,34,2018,D,congressional,congressional
Quinnipiac,7/1/2018,1020,50,41,2018,D,congressional,congressional
Harvard-Harris,6/25/2018,1448,45,36,2018,D,congressional,congressional
IBD/TIPP,6/29/2018,900,48,40,2018,D,congressional,congressional
Economist/YouGov,6/26/2018,1278,43,38,2018,D,congressional,congressional
Reuters/Ipsos,6/26/2018,1199,41,38,2018,D,congressional,congressional
Rasmussen Reports,6/21/2018,2500,45,41,2018,D,congressional,congressional
Economist/YouGov,6/19/2018,1272,44,37,2018,D,congressional,congressional
Reuters/Ipsos,6/19/2018,1604,42,36,2018,D,congressional,congressional
USA Today/Suffolk,6/18/2018,1000,45,39,2018,D,congressional,congressional
Quinnipiac,6/17/2018,905,49,43,2018,D,congressional,congressional
CNN,6/17/2018,901,50,42,2018,D,congressional,congressional
Gallup,6/17/2018,1346,48,43,2018,D,congressional,congressional
Monmouth,6/13/2018,711,48,41,2018,D,congressional,congressional
Rasmussen Reports,6/14/2018,2500,45,41,2018,D,congressional,congressional
Economist/YouGov,6/12/2018,1308,43,37,2018,D,congressional,congressional
Reuters/Ipsos,6/12/2018,2018,45,35,2018,D,congressional,congressional
PPP (D),6/10/2018,679,46,40,2018,D,congressional,congressional
Pew Research,6/12/2018,1608,48,43,2018,D,congressional,congressional
Rasmussen Reports,6/7/2018,2500,44,40,2018,D,congressional,congressional
FOX News,6/6/2018,1001,48,39,2018,D,congressional,congressional
Economist/YouGov,6/5/2018,1292,44,38,2018,D,congressional,congressional
Reuters/Ipsos,6/5/2018,1265,43,32,2018,D,congressional,congressional
NBC News/Wall St. Jrnl,6/4/2018,900,50,40,2018,D,congressional,congressional
Quinnipiac,6/5/2018,1223,47,40,2018,D,congressional,congressional
IBD/TIPP,6/5/2018,905,47,40,2018,D,congressional,congressional
Rasmussen Reports,5/31/2018,2500,45,41,2018,D,congressional,congressional
Economist/YouGov,5/29/2018,1279,42,39,2018,D,congressional,congressional
Reuters/Ipsos,5/29/2018,1931,39,37,2018,D,congressional,congressional
Rasmussen Reports,5/25/2018,2500,43,42,2018,D,congressional,congressional
Harvard-Harris,5/22/2018,1347,44,37,2018,D,congressional,congressional
Economist/YouGov,5/22/2018,1263,43,38,2018,D,congressional,congressional
Reuters/Ipsos,5/22/2018,1080,40,37,2018,D,congressional,congressional
Rasmussen Reports,5/17/2018,2500,43,42,2018,D,congressional,congressional
Economist/YouGov,5/15/2018,1231,42,37,2018,D,congressional,congressional
Reuters/Ipsos,5/15/2018,1290,38,37,2018,D,congressional,congressional
Rasmussen Reports,5/10/2018,2500,46,40,2018,D,congressional,congressional
CNN,5/5/2018,901,47,44,2018,D,congressional,congressional
Economist/YouGov,5/8/2018,1232,44,35,2018,D,congressional,congressional
Reuters/Ipsos,5/8/2018,1171,39,38,2018,D,congressional,congressional
Economist/YouGov,5/1/2018,1273,42,39,2018,D,congressional,congressional
Reuters/Ipsos,5/1/2018,1337,43,37,2018,D,congressional,congressional
Pew Research,5/1/2018,1221,48,43,2018,D,congressional,congressional
Monmouth,4/30/2018,681,49,41,2018,D,congressional,congressional
Harvard-Harris,4/24/2018,1549,43,34,2018,D,congressional,congressional
Economist/YouGov,4/24/2018,1270,43,38,2018,D,congressional,congressional
Quinnipiac,4/24/2018,1193,48,40,2018,D,congressional,congressional
Reuters/Ipsos,4/24/2018,1248,45,34,2018,D,congressional,congressional
Economist/YouGov,4/17/2018,1274,43,38,2018,D,congressional,congressional
NPR/PBS/Marist,4/13/2018,827,44,39,2018,D,congressional,congressional
Reuters/Ipsos,4/17/2018,1238,44,34,2018,D,congressional,congressional
ABC News/Wash Post,4/11/2018,865,47,43,2018,D,congressional,congressional
NBC News/Wall St. Jrnl,4/11/2018,900,47,40,2018,D,congressional,congressional
Economist/YouGov,4/10/2018,1292,44,36,2018,D,congressional,congressional
Rasmussen Reports,4/9/2018,1000,45,40,2018,D,congressional,congressional
Quinnipiac,4/9/2018,1181,46,43,2018,D,congressional,congressional
Reuters/Ipsos,4/10/2018,1219,44,34,2018,D,congressional,congressional
Economist/YouGov,4/3/2018,1246,43,36,2018,D,congressional,congressional
Reuters/Ipsos,4/3/2018,1519,43,34,2018,D,congressional,congressional
Harvard-Harris,3/29/2018,1340,45,34,2018,D,congressional,congressional
Reuters/Ipsos,3/27/2018,1392,42,35,2018,D,congressional,congressional
Economist/YouGov,3/27/2018,1330,42,35,2018,D,congressional,congressional
CNN,3/25/2018,913,50,44,2018,D,congressional,congressional
PPP (D),3/25/2018,846,50,39,2018,D,congressional,congressional
Marist,3/21/2018,1015,44,39,2018,D,congressional,congressional
FOX News,3/21/2018,1014,46,41,2018,D,congressional,congressional
Economist/YouGov,3/20/2018,1284,44,38,2018,D,congressional,congressional
Quinnipiac,3/20/2018,1291,49,43,2018,D,congressional,congressional
Reuters/Ipsos,3/20/2018,1337,40,37,2018,D,congressional,congressional
NBC News/Wall St. Jrnl,3/14/2018,930,50,40,2018,D,congressional,congressional
Economist/YouGov,3/13/2018,1291,43,38,2018,D,congressional,congressional
Reuters/Ipsos,3/13/2018,1411,38,30,2018,D,congressional,congressional
GWU/Battleground,3/8/2018,1000,49,40,2018,D,congressional,congressional
Economist/YouGov,3/6/2018,1310,43,37,2018,D,congressional,congressional
Reuters/Ipsos,3/6/2018,2927,38,31,2018,D,congressional,congressional
Quinnipiac,3/5/2018,1122,48,38,2018,D,congressional,congressional
Monmouth,3/5/2018,708,50,41,2018,D,congressional,congressional
Rasmussen Reports,3/4/2018,1000,46,40,2018,D,congressional,congressional
Economist/YouGov,2/27/2018,1296,40,38,2018,D,congressional,congressional
Reuters/Ipsos,2/27/2018,1651,37,31,2018,D,congressional,congressional
USA Today/Suffolk,2/24/2018,1000,47,32,2018,D,congressional,congressional
CNN,2/23/2018,909,54,38,2018,D,congressional,congressional
Marist,2/21/2018,819,46,39,2018,D,congressional,congressional
Economist/YouGov,2/20/2018,1308,43,35,2018,D,congressional,congressional
Reuters/Ipsos,2/20/2018,1104,38,30,2018,D,congressional,congressional
Harvard-Harris,2/19/2018,1934,41,36,2018,D,congressional,congressional
Quinnipiac,2/19/2018,1249,53,38,2018,D,congressional,congressional
Economist/YouGov,2/13/2018,1280,42,38,2018,D,congressional,congressional
Reuters/Ipsos,2/13/2018,1515,39,30,2018,D,congressional,congressional
PPP (D),2/11/2018,687,49,41,2018,D,congressional,congressional
Marist,2/7/2018,807,49,38,2018,D,congressional,congressional
Economist/YouGov,2/6/2018,1320,43,37,2018,D,congressional,congressional
Reuters/Ipsos,2/6/2018,3110,38,31,2018,D,congressional,congressional
Quinnipiac,2/5/2018,1333,49,40,2018,D,congressional,congressional
IBD/TIPP,2/2/2018,832,46,41,2018,D,congressional,congressional
Monmouth,1/30/2018,711,47,45,2018,D,congressional,congressional
Economist/YouGov,1/30/2018,1264,42,37,2018,D,congressional,congressional
Reuters/Ipsos,1/30/2018,1856,37,31,2018,D,congressional,congressional
Rasmussen Reports,1/25/2018,1000,45,37,2018,D,congressional,congressional
FOX News,1/23/2018,1002,44,38,2018,D,congressional,congressional
Economist/YouGov,1/23/2018,1301,41,37,2018,D,congressional,congressional
Quinnipiac,1/23/2018,1245,51,38,2018,D,congressional,congressional
Reuters/Ipsos,1/23/2018,2981,38,30,2018,D,congressional,congressional
ABC News/Wash Post,1/18/2018,846,51,39,2018,D,congressional,congressional
CNN,1/18/2018,,49,44,2018,D,congressional,congressional
NBC News/Wall St. Jrnl,1/17/2018,765,49,43,2018,D,congressional,congressional
Economist/YouGov,1/16/2018,1311,42,36,2018,D,congressional,congressional
Reuters/Ipsos,1/16/2018,1638,37,32,2018,D,congressional,congressional
Quinnipiac,1/16/2018,1212,50,39,2018,D,congressional,congressional
Pew Research,1/15/2018,1215,53,39,2018,D,congressional,congressional
NPR/PBS/Marist,1/10/2018,1092,46,40,2018,D,congressional,congressional
Emerson,1/11/2018,600,45,40,2018,D,congressional,congressional
Economist/YouGov,1/9/2018,1327,44,37,2018,D,congressional,congressional
Quinnipiac,1/9/2018,1106,52,35,2018,D,congressional,congressional
Reuters/Ipsos,1/9/2018,1616,40,31,2018,D,congressional,congressional
Economist/YouGov,1/2/2018,1277,42,36,2018,D,congressional,congressional
Reuters/Ipsos,1/2/2018,1770,38,31,2018,D,congressional,congressional
Economist/YouGov,12/26/2017,1004,44,36,2018,D,congressional,congressional
Economist/YouGov,12/19/2017,1291,44,35,2018,D,congressional,congressional
Reuters/Ipsos,12/19/2017,2492,39,27,2018,D,congressional,congressional
Quinnipiac,12/18/2017,1230,52,37,2018,D,congressional,congressional
CNN,12/17/2017,898,56,38,2018,D,congressional,congressional
NBC News/Wall St. Jrnl,12/15/2017,736,50,39,2018,D,congressional,congressional
PPP (D),12/12/2017,862,51,40,2018,D,congressional,congressional
Economist/YouGov,12/12/2017,1338,44,36,2018,D,congressional,congressional
Monmouth,12/12/2017,702,51,36,2018,D,congressional,congressional
Reuters/Ipsos,12/12/2017,1457,37,29,2018,D,congressional,congressional
Quinnipiac,12/11/2017,1211,49,37,2018,D,congressional,congressional
Marist,12/7/2017,1079,50,37,2018,D,congressional,congressional
Economist/YouGov,12/5/2017,1341,42,36,2018,D,congressional,congressional
Reuters/Ipsos,12/5/2017,1548,37,31,2018,D,congressional,congressional
Quinnipiac,12/4/2017,1508,50,36,2018,D,congressional,congressional
Economist/YouGov,11/28/2017,1319,41,35,2018,D,congressional,congressional
Reuters/Ipsos,11/28/2017,1969,36,30,2018,D,congressional,congressional
Economist/YouGov,11/21/2017,1344,42,33,2018,D,congressional,congressional
Reuters/Ipsos,11/22/2017,1489,37,28,2018,D,congressional,congressional
NPR/PBS/Marist,11/15/2017,802,43,40,2018,D,congressional,congressional
Economist/YouGov,11/14/2017,1281,42,34,2018,D,congressional,congressional
Reuters/Ipsos,11/14/2017,1520,38,31,2018,D,congressional,congressional
Quinnipiac,11/13/2017,1577,51,38,2018,D,congressional,congressional
Marist,11/9/2017,850,51,36,2018,D,congressional,congressional
Economist/YouGov,11/7/2017,1336,40,33,2018,D,congressional,congressional
Reuters/Ipsos,11/7/2017,1572,38,30,2018,D,congressional,congressional
ABC News/Wash Post,11/1/2017,884,51,40,2018,D,congressional,congressional
Economist/YouGov,10/31/2017,1291,39,36,2018,D,congressional,congressional
Reuters/Ipsos,10/31/2017,1798,40,31,2018,D,congressional,congressional
PPP (D),10/29/2017,572,50,40,2018,D,congressional,congressional
NBC News/Wall St. Jrnl,10/26/2017,753,48,41,2018,D,congressional,congressional
Economist/YouGov,10/24/2017,1312,40,33,2018,D,congressional,congressional
FOX News,10/24/2017,1005,50,35,2018,D,congressional,congressional
Reuters/Ipsos,10/24/2017,2352,36,28,2018,D,congressional,congressional
Economist/YouGov,10/16/2017,1326,41,33,2018,D,congressional,congressional
CNN,10/15/2017,,54,38,2018,D,congressional,congressional
Economist/YouGov,10/10/2017,1278,40,33,2018,D,congressional,congressional
Quinnipiac,10/10/2017,1482,49,41,2018,D,congressional,congressional
Economist/YouGov,10/3/2017,1298,39,32,2018,D,congressional,congressional
Economist/YouGov,9/26/2017,1254,40,34,2018,D,congressional,congressional
Quinnipiac,9/26/2017,1412,47,38,2018,D,congressional,congressional
PPP (D),9/25/2017,865,48,37,2018,D,congressional,congressional
Economist/YouGov,9/19/2017,1292,39,33,2018,D,congressional,congressional
NBC News/Wall St. Jrnl,9/18/2017,751,48,42,2018,D,congressional,congressional
Economist/YouGov,9/12/2017,1313,40,31,2018,D,congressional,congressional
Economist/YouGov,9/5/2017,1309,39,33,2018,D,congressional,congressional
Economist/YouGov,8/29/2017,1278,40,32,2018,D,congressional,congressional
Economist/YouGov,8/22/2017,1327,39,33,2018,D,congressional,congressional
Quinnipiac,8/22/2017,1514,50,38,2018,D,congressional,congressional
PPP (D),8/21/2017,887,49,35,2018,D,congressional,congressional
GWU/Battleground,8/17/2017,1000,45,38,2018,D,congressional,congressional
Economist/YouGov,8/15/2017,1291,41,33,2018,D,congressional,congressional
Quinnipiac,8/15/2017,1361,50,40,2018,D,congressional,congressional
Marist,8/12/2017,883,47,40,2018,D,congressional,congressional
Economist/YouGov,8/8/2017,1303,39,34,2018,D,congressional,congressional
CNN,8/6/2017,,51,42,2018,D,congressional,congressional
Economist/YouGov,8/1/2017,1329,39,34,2018,D,congressional,congressional
Quinnipiac,8/1/2017,1125,52,38,2018,D,congressional,congressional
Economist/YouGov,7/25/2017,1282,40,34,2018,D,congressional,congressional
Economist/YouGov,7/18/2017,1273,40,34,2018,D,congressional,congressional
ABC News/Wash Post,7/13/2017,,52,38,2018,D,congressional,congressional
Economist/YouGov,7/11/2017,1284,39,32,2018,D,congressional,congressional
Economist/YouGov,7/4/2017,1323,37,35,2018,D,congressional,congressional
FOX News,6/27/2017,1017,47,41,2018,D,congressional,congressional
Economist/YouGov,6/27/2017,1295,41,35,2018,D,congressional,congressional
Quinnipiac,6/27/2017,1212,51,41,2018,D,congressional,congressional
NPR/PBS/Marist,6/25/2017,995,48,38,2018,D,congressional,congressional
Economist/YouGov,6/20/2017,1277,38,35,2018,D,congressional,congressional
NBC News/Wall St. Jrnl,6/20/2017,765,50,42,2018,D,congressional,congressional
Economist/YouGov,6/13/2017,1310,38,36,2018,D,congressional,congressional
PPP (D),6/11/2017,811,50,40,2018,D,congressional,congressional
Economist/YouGov,6/6/2017,1288,41,37,2018,D,congressional,congressional
Quinnipiac,6/6/2017,1361,51,39,2018,D,congressional,congressional
Economist/YouGov,5/30/2017,1269,39,33,2018,D,congressional,congressional
Quinnipiac,5/9/2017,1078,54,38,2018,D,congressional,congressional
Economist/YouGov,5/23/2017,1276,38,36,2018,D,congressional,congressional
Economist/YouGov,5/16/2017,1298,40,33,2018,D,congressional,congressional
PPP (D),5/14/2017,692,49,38,2018,D,congressional,congressional
Economist/YouGov,5/9/2017,1287,40,35,2018,D,congressional,congressional
Economist/YouGov,5/2/2017,1255,38,35,2018,D,congressional,congressional
FOX News,4/25/2017,1009,47,42,2018,D,congressional,congressional
Economist/YouGov,4/25/2017,1289,39,34,2018,D,congressional,congressional
CNN/ORC,4/25/2017,,49,41,2018,D,congressional,congressional
NBC News/Wall St. Jrnl,4/20/2017,759,47,43,2018,D,congressional,congressional
PPP (D),4/18/2017,648,47,41,2018,D,congressional,congressional
Economist/YouGov,4/18/2017,1291,38,32,2018,D,congressional,congressional
Marist,4/12/2017,869,45,38,2018,D,congressional,congressional
PPP (D),3/28/2017,677,48,43,2018,D,congressional,congressional
McClatchy/Marist,3/27/2017,906,47,38,2018,D,congressional,congressional
PPP (D),3/12/2017,808,46,41,2018,D,congressional,congressional
PPP (D),2/22/2017,941,46,43,2018,D,congressional,congressional
PPP (D),1/24/2017,1043,48,40,2018,D,congressional,congressional
Economist/YouGov,11/2/2020,1363,52,42,2020,D,congressional,congressional
NBC News/Wall St. Jrnl,10/31/2020,1000,48,43,2020,D,congressional,congressional
Politico/Morning Consult,10/31/2020,14663,50,43,2020,D,congressional,congressional
The Hill/HarrisX,10/28/2020,2359,47,42,2020,D,congressional,congressional
Economist/YouGov,10/27/2020,1365,52,42,2020,D,congressional,congressional
USC Dornsife,11/2/2020,5413,53,45,2020,D,congressional,congressional
USA Today/Suffolk,10/27/2020,1000,49,39,2020,D,congressional,congressional
CNN,10/26/2020,886,54,42,2020,D,congressional,congressional
Economist/YouGov,10/20/2020,1344,50,43,2020,D,congressional,congressional
Economist/YouGov,10/13/2020,1333,49,41,2020,D,congressional,congressional
NBC News/Wall St. Jrnl,10/12/2020,1000,49,42,2020,D,congressional,congressional
Economist/YouGov,9/30/2020,1350,48,42,2020,D,congressional,congressional
Monmouth,9/27/2020,809,50,44,2020,D,congressional,congressional
Economist/YouGov,9/22/2020,1124,47,43,2020,D,congressional,congressional
Politico/Morning Consult,9/20/2020,1989,47,41,2020,D,congressional,congressional
NBC News/Wall St. Jrnl,9/16/2020,1000,49,42,2020,D,congressional,congressional
Economist/YouGov,9/15/2020,1062,48,41,2020,D,congressional,congressional
Economist/YouGov,9/8/2020,1057,48,41,2020,D,congressional,congressional
Monmouth,9/8/2020,758,49,45,2020,D,congressional,congressional
Economist/YouGov,9/1/2020,1207,51,38,2020,D,congressional,congressional
USA Today/Suffolk,8/31/2020,1000,48,42,2020,D,congressional,congressional
Grinnell/Selzer,8/30/2020,827,48,41,2020,D,congressional,congressional
Economist/YouGov,8/25/2020,1254,47,39,2020,D,congressional,congressional
Economist/YouGov,8/18/2020,1246,49,38,2020,D,congressional,congressional
NBC News/Wall St. Jrnl,8/12/2020,900,47,42,2020,D,congressional,congressional
Economist/YouGov,8/11/2020,1208,49,39,2020,D,congressional,congressional
NPR/PBS/Marist,8/11/2020,1108,49,43,2020,D,congressional,congressional
GU Politics/Battleground,8/6/2020,1000,50,44,2020,D,congressional,congressional
Economist/YouGov,8/4/2020,1229,50,38,2020,D,congressional,congressional
Emerson,7/30/2020,964,46,41,2020,D,congressional,congressional
Economist/YouGov,7/28/2020,1260,48,40,2020,D,congressional,congressional
Economist/YouGov,7/21/2020,1222,47,40,2020,D,congressional,congressional
Politico/Morning Consult,7/19/2020,1991,47,37,2020,D,congressional,congressional
Economist/YouGov,7/14/2020,1252,48,40,2020,D,congressional,congressional
NBC News/Wall St. Jrnl,7/12/2020,900,47,43,2020,D,congressional,congressional
Economist/YouGov,7/7/2020,1165,51,40,2020,D,congressional,congressional
Economist/YouGov,6/30/2020,1198,49,40,2020,D,congressional,congressional
Monmouth,6/30/2020,733,50,42,2020,D,congressional,congressional
USA Today/Suffolk,6/29/2020,1000,51,37,2020,D,congressional,congressional
Economist/YouGov,6/23/2020,1230,48,41,2020,D,congressional,congressional
Economist/YouGov,6/16/2020,1160,49,40,2020,D,congressional,congressional
Economist/YouGov,6/9/2020,1241,47,39,2020,D,congressional,congressional
NBC News/Wall St. Jrnl,6/2/2020,1000,51,40,2020,D,congressional,congressional
Economist/YouGov,6/2/2020,1244,46,40,2020,D,congressional,congressional
Monmouth,6/1/2020,742,52,43,2020,D,congressional,congressional
Economist/YouGov,5/26/2020,1157,47,39,2020,D,congressional,congressional
Economist/YouGov,5/19/2020,1235,47,38,2020,D,congressional,congressional
Economist/YouGov,5/12/2020,1175,48,41,2020,D,congressional,congressional
Economist/YouGov,5/5/2020,1209,47,39,2020,D,congressional,congressional
Politico/Morning Consult,5/3/2020,1987,44,39,2020,D,congressional,congressional
Monmouth,5/4/2020,739,52,42,2020,D,congressional,congressional
Economist/YouGov,4/28/2020,1222,46,38,2020,D,congressional,congressional
Economist/YouGov,4/21/2020,1144,46,38,2020,D,congressional,congressional
Politico/Morning Consult,4/19/2020,1991,44,39,2020,D,congressional,congressional
Economist/YouGov,4/14/2020,1166,47,40,2020,D,congressional,congressional
Economist/YouGov,4/7/2020,1147,48,39,2020,D,congressional,congressional
Politico/Morning Consult,4/5/2020,1990,46,38,2020,D,congressional,congressional
Economist/YouGov,3/31/2020,1194,48,39,2020,D,congressional,congressional
Grinnell/Selzer,3/30/2020,777,50,41,2020,D,congressional,congressional
Economist/YouGov,3/17/2020,1129,49,39,2020,D,congressional,congressional
Economist/YouGov,3/10/2020,1191,47,42,2020,D,congressional,congressional
Politico/Morning Consult,3/8/2020,1992,46,40,2020,D,congressional,congressional
CNN,3/7/2020,1084,53,44,2020,D,congressional,congressional
Economist/YouGov,3/3/2020,1134,51,38,2020,D,congressional,congressional
Economist/YouGov,2/25/2020,1184,48,40,2020,D,congressional,congressional
Politico/Morning Consult,2/23/2020,1992,45,39,2020,D,congressional,congressional
Economist/YouGov,2/18/2020,1150,48,41,2020,D,congressional,congressional
NPR/PBS/Marist,2/16/2020,1164,48,40,2020,D,congressional,congressional
Politico/Morning Consult,1/9/2020,1996,45,41,2020,D,congressional,congressional
Economist/YouGov,2/11/2020,1140,48,40,2020,D,congressional,congressional
Economist/YouGov,2/4/2020,1277,48,41,2020,D,congressional,congressional
NBC News/Wall St. Jrnl,1/29/2020,1000,49,43,2020,D,congressional,congressional
Economist/YouGov,1/28/2020,1182,48,39,2020,D,congressional,congressional
Politico/Morning Consult,1/26/2020,1992,45,39,2020,D,congressional,congressional
Economist/YouGov,1/21/2020,1176,44,43,2020,D,congressional,congressional
Economist/YouGov,1/14/2020,1108,46,42,2020,D,congressional,congressional
Politico/Morning Consult,1/12/2020,1996,42,39,2020,D,congressional,congressional
Economist/YouGov,1/7/2020,1185,48,40,2020,D,congressional,congressional
Economist/YouGov,12/31/2019,1123,50,40,2020,D,congressional,congressional
Economist/YouGov,12/24/2019,1240,47,41,2020,D,congressional,congressional
NBC News/Wall St. Jrnl,12/17/2019,733,49,42,2020,D,congressional,congressional
Economist/YouGov,12/17/2019,1164,48,40,2020,D,congressional,congressional
Economist/YouGov,12/10/2019,1209,48,40,2020,D,congressional,congressional
Economist/YouGov,12/3/2019,1200,47,41,2020,D,congressional,congressional
Economist/YouGov,11/26/2019,1189,47,41,2020,D,congressional,congressional
Politico/Morning Consult,11/24/2019,1988,45,36,2020,D,congressional,congressional
Economist/YouGov,11/19/2019,1224,46,39,2020,D,congressional,congressional
NPR/PBS/Marist,11/15/2019,988,46,41,2020,D,congressional,congressional
Economist/YouGov,11/12/2019,1206,49,40,2020,D,congressional,congressional
Politico/Morning Consult,11/10/2019,1993,45,37,2020,D,congressional,congressional
Economist/YouGov,11/5/2019,1201,47,41,2020,D,congressional,congressional
NBC News/Wall St. Jrnl,10/30/2019,720,49,42,2020,D,congressional,congressional
Economist/YouGov,10/29/2019,1274,47,41,2020,D,congressional,congressional
Politico/Morning Consult,10/28/2019,1997,46,38,2020,D,congressional,congressional
USA Today/Suffolk,10/26/2019,1000,46,46,2020,D,congressional,congressional
Economist/YouGov,10/22/2019,1204,48,40,2020,D,congressional,congressional
Economist/YouGov,10/15/2019,1136,49,39,2020,D,congressional,congressional
Politico/Morning Consult,10/13/2019,1993,45,36,2020,D,congressional,congressional
GU Politics/Battleground,10/10/2019,1000,48,42,2020,D,congressional,congressional
NPR/PBS/Marist,10/8/2019,926,43,40,2020,D,congressional,congressional
Economist/YouGov,10/8/2019,1241,46,42,2020,D,congressional,congressional
Economist/YouGov,10/1/2019,1087,47,40,2020,D,congressional,congressional
Politico/Morning Consult,9/30/2019,2488,46,38,2020,D,congressional,congressional
Economist/YouGov,9/24/2019,1198,47,39,2020,D,congressional,congressional
Economist/YouGov,9/17/2019,1184,47,39,2020,D,congressional,congressional
Politico/Morning Consult,9/16/2019,1994,44,37,2020,D,congressional,congressional
Economist/YouGov,9/10/2019,1188,49,38,2020,D,congressional,congressional
Economist/YouGov,9/3/2019,1069,46,41,2020,D,congressional,congressional
Economist/YouGov,8/27/2019,1093,48,37,2020,D,congressional,congressional
