pollster,date,sampleSize,marginError,dvalue,rvalue,state,Year,Type
Quinnipiac,2014-09-29,1058.0,3.0,51.0,40.0,New Jersey,2014,Senate
Richard Stockton College,2014-10-08,810.0,3.5,48.0,39.0,New Jersey,2014,Senate
Monmouth,2014-10-05,477.0,4.5,53.0,38.0,New Jersey,2014,Senate
CBS News/NYT/YouGov,2014-10-01,2011.0,3.0,51.0,37.0,New Jersey,2014,Senate
Richard Stockton College,2014-09-08,807.0,3.5,49.0,36.0,New Jersey,2014,Senate
Fairleigh Dickinson,2014-09-07,,3.7,42.0,29.0,New Jersey,2014,Senate
CBS News/NYT/YouGov,2014-09-02,2244.0,3.0,52.0,37.0,New Jersey,2014,Senate
Quinnipiac,2014-08-04,,2.9,47.0,37.0,New Jersey,2014,Senate
CBS News/NYT/YouGov,2014-07-24,,3.4,50.0,43.0,New Jersey,2014,Senate
Rasmussen Reports,2014-06-18,750.0,4.0,48.0,35.0,New Jersey,2014,Senate
Monmouth,2014-06-29,,3.7,43.0,23.0,New Jersey,2014,Senate
rcp_average,,,,53.8,38.4,New Jersey,2014,Senate
Albuquerque Journal,2014-10-23,614.0,4.0,50.0,43.0,New Mexico,2014,Senate
CBS News/NYT/YouGov,2014-10-23,962.0,6.0,52.0,36.0,New Mexico,2014,Senate
CBS News/NYT/YouGov,2014-10-01,1093.0,4.0,53.0,35.0,New Mexico,2014,Senate
Rasmussen Reports,2014-09-23,830.0,4.0,52.0,39.0,New Mexico,2014,Senate
Albuquerque Journal,2014-09-11,603.0,4.0,51.0,38.0,New Mexico,2014,Senate
CBS News/NYT/YouGov,2014-09-02,1096.0,4.0,54.0,36.0,New Mexico,2014,Senate
Albuquerque Journal,2014-08-14,606.0,4.0,53.0,35.0,New Mexico,2014,Senate
Rasmussen Reports,2014-07-22,860.0,4.0,54.0,33.0,New Mexico,2014,Senate
CBS News/NYT/YouGov,2014-07-24,,3.6,52.0,44.0,New Mexico,2014,Senate
PPP (D),2014-03-23,,3.8,53.0,33.0,New Mexico,2014,Senate
Albuquerque Journal,,614.0,4.0,50.0,43.0,New Mexico,2014,Senate
rcp_average,2014-11-03,,,45.2,46.0,North Carolina,2014,Senate
PPP (D),2014-11-03,1333.0,2.7,48.0,43.0,North Carolina,2014,Senate
Civitas (R),2014-10-30,600.0,4.0,45.0,42.0,North Carolina,2014,Senate
FOX News*,2014-10-30,909.0,3.0,43.0,48.0,North Carolina,2014,Senate
Harper (R),2014-10-30,511.0,4.3,45.0,46.0,North Carolina,2014,Senate
CNN/Opinion Research*,2014-10-30,559.0,4.0,48.0,46.0,North Carolina,2014,Senate
Rasmussen Reports,2014-10-29,982.0,3.0,47.0,41.0,North Carolina,2014,Senate
YouGov*,2014-10-31,1727.0,3.0,44.0,41.0,North Carolina,2014,Senate
Elon University,2014-10-25,687.0,3.7,45.0,44.0,North Carolina,2014,Senate
High Point/SurveyUSA*,2014-10-25,802.0,3.5,44.0,43.0,North Carolina,2014,Senate
NBC News/Marist*,2014-10-23,756.0,3.6,43.0,46.0,North Carolina,2014,Senate
rcp_average,2014-11-03,,,45.2,43.0,North Carolina,2014,Senate
PPP (D),2014-11-03,1333.0,2.7,48.0,42.0,North Carolina,2014,Senate
Civitas (R),2014-10-30,600.0,4.0,45.0,48.0,North Carolina,2014,Senate
FOX News*,2014-10-30,909.0,3.0,43.0,46.0,North Carolina,2014,Senate
CNN/Opinion Research*,2014-10-30,559.0,4.0,48.0,41.0,North Carolina,2014,Senate
YouGov*,2014-10-31,1727.0,3.0,44.0,44.0,North Carolina,2014,Senate
Elon University,2014-10-25,687.0,3.7,45.0,43.0,North Carolina,2014,Senate
High Point/SurveyUSA*,2014-10-25,802.0,3.5,44.0,41.0,North Carolina,2014,Senate
NBC News/Marist*,2014-10-23,756.0,3.6,43.0,43.0,North Carolina,2014,Senate
CBS News/NYT/YouGov*,2014-10-23,1910.0,4.0,44.0,44.0,North Carolina,2014,Senate
SurveyUSA*,2014-10-20,568.0,4.2,46.0,44.0,North Carolina,2014,Senate
PPP (D),2014-10-18,780.0,3.5,47.0,46.0,North Carolina,2014,Senate
Civitas (R),2014-10-18,,4.0,44.0,46.0,North Carolina,2014,Senate
SurveyUSA,2014-10-12,554.0,4.2,45.0,40.0,North Carolina,2014,Senate
Rasmussen Reports,2014-10-07,970.0,3.0,48.0,45.0,North Carolina,2014,Senate
High Point*,2014-10-09,584.0,4.1,40.0,40.0,North Carolina,2014,Senate
USA Today/Suffolk*,2014-10-07,500.0,4.4,47.0,45.0,North Carolina,2014,Senate
NBC News/Marist*,2014-10-01,665.0,3.8,44.0,43.0,North Carolina,2014,Senate
CBS News/NYT/YouGov*,2014-10-01,2002.0,3.0,46.0,43.0,North Carolina,2014,Senate
CNN/Opinion Research*,2014-09-25,595.0,4.0,46.0,40.0,North Carolina,2014,Senate
Civitas (R),2014-09-28,,4.0,50.0,36.0,North Carolina,2014,Senate
High Point*,2014-09-18,410.0,5.0,42.0,42.0,North Carolina,2014,Senate
FOX News*,2014-09-16,605.0,4.0,41.0,46.0,North Carolina,2014,Senate
PPP (D),2014-09-14,1266.0,2.8,46.0,39.0,North Carolina,2014,Senate
SurveyUSA/Civitas (R),2014-09-10,490.0,4.5,47.0,40.0,North Carolina,2014,Senate
Rasmussen Reports,2014-09-10,1000.0,4.0,45.0,41.0,North Carolina,2014,Senate
American Insights (R),2014-09-10,459.0,4.6,50.0,43.0,North Carolina,2014,Senate
Elon University,2014-09-09,629.0,3.9,45.0,43.0,North Carolina,2014,Senate
CBS News/NYT/YouGov*,2014-09-02,2059.0,3.0,42.0,42.0,North Carolina,2014,Senate
USA Today/Suffolk*,2014-08-19,500.0,4.4,45.0,45.0,North Carolina,2014,Senate
PPP (D),2014-08-17,865.0,3.4,43.0,47.0,North Carolina,2014,Senate
Rasmussen Reports,2014-08-06,750.0,4.0,40.0,39.0,North Carolina,2014,Senate
Civitas (R),2014-07-29,,4.0,46.0,48.0,North Carolina,2014,Senate
PPP (D),2014-07-20,,3.0,42.0,46.0,North Carolina,2014,Senate
CBS News/NYT/YouGov,2014-07-24,,3.5,47.0,38.0,North Carolina,2014,Senate
Civitas (R),2014-06-22,,4.0,48.0,46.0,North Carolina,2014,Senate
PPP (D),2014-06-15,,3.0,42.0,48.0,North Carolina,2014,Senate
Magellan Strategies (R),2014-06-08,700.0,3.7,47.0,41.0,North Carolina,2014,Senate
Civitas (R),2014-05-22,,4.0,43.0,45.0,North Carolina,2014,Senate
PPP (D),2014-05-11,,3.3,41.0,43.0,North Carolina,2014,Senate
Rasmussen Reports,2014-05-08,750.0,4.0,44.0,40.0,North Carolina,2014,Senate
Magellan Strategies (R),2014-04-15,804.0,3.5,43.0,41.0,North Carolina,2014,Senate
NY Times/Kaiser,2014-04-15,,4.0,42.0,46.0,North Carolina,2014,Senate
PPP (D),2014-04-06,,3.6,43.0,43.0,North Carolina,2014,Senate
SurveyUSA,2014-03-31,1489.0,2.6,45.0,41.0,North Carolina,2014,Senate
PPP (D),2014-03-09,,3.3,45.0,35.0,North Carolina,2014,Senate
CEA/Hickman Analytics (D),2014-02-20,400.0,4.9,45.0,42.0,North Carolina,2014,Senate
American Insights (R),2014-02-15,,4.0,38.0,47.0,North Carolina,2014,Senate
PPP (D),2014-02-09,,3.7,40.0,43.0,North Carolina,2014,Senate
Rasmussen Reports,2014-01-23,500.0,4.5,40.0,42.0,North Carolina,2014,Senate
PPP (D),2014-01-12,,2.6,42.0,42.0,North Carolina,2014,Senate
PPP (D),2014-12-08,,2.7,44.0,36.0,North Carolina,2014,Senate
PPP (D),2014-11-11,,3.7,44.0,39.0,North Carolina,2014,Senate
PPP (D),2014-09-09,,4.0,51.0,38.0,North Carolina,2014,Senate
PPP (D),2014-08-11,,4.0,47.0,40.0,North Carolina,2014,Senate
PPP (D),2014-07-14,,4.0,49.0,41.0,North Carolina,2014,Senate
PPP (D),2014-06-14,,4.4,45.0,39.0,North Carolina,2014,Senate
PPP (D),2014-05-20,,4.4,48.0,36.0,North Carolina,2014,Senate
PPP (D),2014-04-14,,4.0,49.0,38.0,North Carolina,2014,Senate
PPP (D),2014-03-10,,4.0,50.0,37.0,North Carolina,2014,Senate
PPP (D),2014-02-10,,4.0,46.0,38.0,North Carolina,2014,Senate
PPP (D),2014-01-13,,4.0,47.0,,North Carolina,2014,Senate
PPP (D),2014-12-09,,4.1,48.0,,North Carolina,2014,Senate
rcp_average,,,,45.2,,North Carolina,2014,Senate
rcp_average,2014-10-29,,,28.7,60.0,Oklahoma,2014,Senate
Sooner Poll/News 9/News on 6*,2014-10-29,949.0,3.2,28.0,59.0,Oklahoma,2014,Senate
CBS News/NYT/YouGov,2014-10-23,995.0,5.0,29.0,63.0,Oklahoma,2014,Senate
Rasmussen Reports,2014-08-28,750.0,4.0,29.0,58.0,Oklahoma,2014,Senate
CBS News/NYT/YouGov,2014-10-01,1244.0,3.0,24.0,65.0,Oklahoma,2014,Senate
Sooner Poll/News 9/News on 6*,2014-09-29,400.0,4.9,28.0,56.0,Oklahoma,2014,Senate
Sooner Poll/News 9/News on 6*,2014-08-30,603.0,4.0,28.0,58.0,Oklahoma,2014,Senate
CBS News/NYT/YouGov,2014-09-02,821.0,5.0,28.0,61.0,Oklahoma,2014,Senate
CBS News/NYT/YouGov,2014-07-24,,4.7,34.0,57.0,Oklahoma,2014,Senate
rcp_average,,,,28.7,60.0,Oklahoma,2014,Senate
rcp_average,2014-10-27,,,49.0,30.0,Oregon,2014,Senate
The Oregonian/Elway,2014-10-27,403.0,5.0,53.0,32.0,Oregon,2014,Senate
SurveyUSA,2014-10-27,552.0,4.2,51.0,39.0,Oregon,2014,Senate
CBS News/NYT/YouGov,2014-10-23,1421.0,4.0,49.0,30.0,Oregon,2014,Senate
rcp_average,2014-10-27,,,53.0,32.0,Oregon,2014,Senate
The Oregonian/Elway,2014-10-27,403.0,5.0,51.0,39.0,Oregon,2014,Senate
SurveyUSA,2014-10-27,552.0,4.2,53.0,32.0,Oregon,2014,Senate
CBS News/NYT/YouGov,2014-10-23,1421.0,4.0,52.0,39.0,Oregon,2014,Senate
SurveyUSA,2014-10-19,561.0,4.2,52.0,32.0,Oregon,2014,Senate
CBS News/NYT/YouGov,2014-10-01,1508.0,3.0,42.0,34.0,Oregon,2014,Senate
SurveyUSA,2014-09-24,568.0,4.2,48.0,35.0,Oregon,2014,Senate
The Polling Company (R)*,2014-09-11,600.0,4.0,51.0,39.0,Oregon,2014,Senate
Rasmussen Reports,2014-09-03,750.0,4.0,52.0,33.0,Oregon,2014,Senate
CBS News/NYT/YouGov,2014-09-02,1541.0,4.0,55.0,41.0,Oregon,2014,Senate
SurveyUSA,2014-08-05,564.0,4.2,50.0,32.0,Oregon,2014,Senate
CBS News/NYT/YouGov,2014-07-24,,2.6,50.0,36.0,Oregon,2014,Senate
SurveyUSA,2014-06-09,560.0,4.2,47.0,37.0,Oregon,2014,Senate
PPP (D),2014-05-27,,3.2,41.0,45.0,Oregon,2014,Senate
Rasmussen Reports,2014-05-22,750.0,4.0,46.0,34.0,Oregon,2014,Senate
rcp_average,2014-10-23,,,63.0,23.0,Rhode Island,2014,Senate
CBS News/NYT/YouGov,2014-10-23,866.0,6.0,65.0,20.0,Rhode Island,2014,Senate
Rasmussen Reports,2014-09-25,750.0,4.0,61.0,26.0,Rhode Island,2014,Senate
CBS News/NYT/YouGov,2014-10-01,724.0,4.0,64.0,22.0,Rhode Island,2014,Senate
CBS News/NYT/YouGov,2014-09-02,764.0,4.0,52.0,32.0,Rhode Island,2014,Senate
rcp_average,,,,63.0,23.0,Rhode Island,2014,Senate
rcp_average,2014-10-23,,,28.3,46.0,South Carolina,2014,Senate
CBS News/NYT/YouGov,2014-10-23,1566.0,4.0,28.0,43.0,South Carolina,2014,Senate
Palmetto Politics Poll/VSS*,2014-10-19,917.0,3.2,29.0,49.0,South Carolina,2014,Senate
Winthrop*,2014-09-28,1082.0,3.0,28.0,46.0,South Carolina,2014,Senate
CBS News/NYT/YouGov,2014-10-01,2663.0,2.0,27.0,44.0,South Carolina,2014,Senate
CBS News/NYT/YouGov,2014-09-02,833.0,5.0,29.0,42.0,South Carolina,2014,Senate
Palmetto Politics Poll/VSS*,2014-07-20,650.0,3.8,33.0,45.0,South Carolina,2014,Senate
CBS News/NYT/YouGov,2014-07-24,,5.4,38.0,51.0,South Carolina,2014,Senate
Rasmussen Reports,2014-07-10,750.0,4.0,30.0,49.0,South Carolina,2014,Senate
rcp_average,,,,28.3,46.0,South Carolina,2014,Senate
rcp_average,2014-10-26,,,30.0,42.2,South Dakota,2014,Senate
Rasmussen Reports,2014-10-26,908.0,3.0,31.0,45.0,South Dakota,2014,Senate
SurveyUSA*,2014-10-26,611.0,4.0,32.0,43.0,South Dakota,2014,Senate
Argus Leader/Mason-Dixon*,2014-10-23,800.0,3.5,33.0,42.0,South Dakota,2014,Senate
NBC News/Marist*,2014-10-23,730.0,3.6,29.0,43.0,South Dakota,2014,Senate
CBS News/NYT/YouGov,2014-10-23,527.0,8.0,25.0,38.0,South Dakota,2014,Senate
Harper (R)*,2014-10-11,630.0,3.9,33.0,37.0,South Dakota,2014,Senate
SurveyUSA*,2014-10-05,616.0,4.0,28.0,35.0,South Dakota,2014,Senate
CBS News/NYT/YouGov,2014-10-01,382.0,7.0,27.0,42.0,South Dakota,2014,Senate
Nielson Brothers*,2014-09-25,647.0,3.2,26.0,39.0,South Dakota,2014,Senate
SurveyUSA*,2014-09-07,510.0,4.4,28.0,39.0,South Dakota,2014,Senate
CBS News/NYT/YouGov,2014-09-02,526.0,6.0,29.0,43.0,South Dakota,2014,Senate
Nielson Brothers*,2014-07-28,578.0,4.0,30.0,43.0,South Dakota,2014,Senate
Rasmussen Reports,2014-06-05,750.0,4.0,29.0,44.0,South Dakota,2014,Senate
SurveyUSA*,2014-05-10,504.0,4.5,30.0,44.0,South Dakota,2014,Senate
rcp_average,,,,30.0,42.2,South Dakota,2014,Senate
rcp_average,2014-10-23,,,32.5,51.0,Tennessee,2014,Senate
CBS News/NYT/YouGov,2014-10-23,974.0,5.0,33.0,55.0,Tennessee,2014,Senate
Rasmussen Reports,2014-08-12,750.0,4.0,32.0,47.0,Tennessee,2014,Senate
CBS News/NYT/YouGov,2014-10-01,1007.0,4.0,32.0,53.0,Tennessee,2014,Senate
CBS News/NYT/YouGov,2014-09-02,1056.0,4.0,32.0,47.0,Tennessee,2014,Senate
CBS News/NYT/YouGov,2014-07-24,,5.4,33.0,48.0,Tennessee,2014,Senate
Rasmussen Reports,2014-04-30,750.0,4.0,25.0,51.0,Tennessee,2014,Senate
rcp_average,,,,32.5,51.0,Tennessee,2014,Senate
rcp_average,2014-10-23,,,31.3,53.0,Texas,2014,Senate
CBS News/NYT/YouGov,2014-10-23,3987.0,3.0,35.0,57.0,Texas,2014,Senate
UT/Texas Tribune*,2014-10-19,866.0,3.3,31.0,57.0,Texas,2014,Senate
Rasmussen Reports,2014-10-02,840.0,3.5,29.0,50.0,Texas,2014,Senate
Texas Lyceum*,2014-09-25,666.0,3.8,30.0,48.0,Texas,2014,Senate
CBS News/NYT/YouGov,2014-10-01,4177.0,2.0,35.0,55.0,Texas,2014,Senate
CBS News/NYT/YouGov,2014-09-02,4189.0,2.0,34.0,55.0,Texas,2014,Senate
Rasmussen Reports,2014-08-05,850.0,3.0,29.0,47.0,Texas,2014,Senate
CBS News/NYT/YouGov,2014-07-24,,3.7,38.0,55.0,Texas,2014,Senate
UT/Texas Tribune*,2014-06-08,,2.8,25.0,36.0,Texas,2014,Senate
PPP (D),2014-04-13,,4.1,32.0,49.0,Texas,2014,Senate
rcp_average,,,,31.3,53.0,Texas,2014,Senate
rcp_average,2014-10-29,,,48.5,38.8,Virginia,2014,Senate
Christopher Newport Univ.*,2014-10-29,634.0,3.9,51.0,44.0,Virginia,2014,Senate
Roanoke College*,2014-10-25,738.0,3.6,47.0,35.0,Virginia,2014,Senate
CBS News/NYT/YouGov*,2014-10-23,1605.0,4.0,49.0,39.0,Virginia,2014,Senate
Univ. of Mary Washington*,2014-10-06,444.0,5.3,47.0,37.0,Virginia,2014,Senate
Christopher Newport Univ.*,2014-10-05,690.0,3.7,51.0,39.0,Virginia,2014,Senate
CBS News/NYT/YouGov*,2014-10-01,1656.0,3.0,51.0,39.0,Virginia,2014,Senate
PPP (D),2014-09-23,625.0,3.9,49.0,37.0,Virginia,2014,Senate
Quinnipiac,2014-09-22,1010.0,3.1,50.0,41.0,Virginia,2014,Senate
Roanoke College*,2014-09-19,630.0,3.9,49.0,29.0,Virginia,2014,Senate
Christopher Newport Univ.*,2014-09-07,713.0,3.7,53.0,31.0,Virginia,2014,Senate
CBS News/NYT/YouGov,2014-09-02,1635.0,3.0,51.0,39.0,Virginia,2014,Senate
Hampton*Â University,2014-07-30,804.0,2.9,55.0,32.0,Virginia,2014,Senate
CBS News/NYT/YouGov,2014-07-24,,3.2,53.0,43.0,Virginia,2014,Senate
Roanoke College*,2014-07-19,,4.2,47.0,22.0,Virginia,2014,Senate
Rasmussen Reports,2014-06-12,750.0,4.0,53.0,36.0,Virginia,2014,Senate
Quinnipiac*,2014-03-24,,2.7,46.0,31.0,Virginia,2014,Senate
Roanoke College,2014-02-28,,3.9,56.0,29.0,Virginia,2014,Senate
Rasmussen Reports,2014-01-21,1000.0,3.0,51.0,37.0,Virginia,2014,Senate
Christopher Newport Univ.,2014-01-22,,3.1,50.0,30.0,Virginia,2014,Senate
Roanoke College,2014-01-17,,4.2,50.0,21.0,Virginia,2014,Senate
WFB/The Polling Company (R),2014-11-20,,4.0,51.0,33.0,Virginia,2014,Senate
rcp_average,,,,48.5,38.8,Virginia,2014,Senate
rcp_average,2014-10-23,,,36.7,53.3,West Virginia,2014,Senate
CBS News/NYT/YouGov,2014-10-23,877.0,5.0,34.0,56.0,West Virginia,2014,Senate
Rasmussen Reports,2014-10-01,750.0,4.0,39.0,50.0,West Virginia,2014,Senate
The West Virginia Poll,2014-08-23,401.0,4.9,37.0,54.0,West Virginia,2014,Senate
CBS News/NYT/YouGov,2014-10-01,1066.0,4.0,33.0,56.0,West Virginia,2014,Senate
CBS News/NYT/YouGov,2014-09-02,1284.0,4.0,32.0,55.0,West Virginia,2014,Senate
Rasmussen Reports,2014-08-20,750.0,4.0,33.0,50.0,West Virginia,2014,Senate
CBS News/NYT/YouGov,2014-07-24,,2.7,43.0,51.0,West Virginia,2014,Senate
The West Virginia Poll,2014-05-22,400.0,4.9,38.0,49.0,West Virginia,2014,Senate
Rasmussen Reports,2014-05-15,750.0,4.0,39.0,48.0,West Virginia,2014,Senate
Rasmussen Reports,2014-02-20,500.0,4.5,35.0,49.0,West Virginia,2014,Senate
PPP (D),2014-09-22,,2.9,36.0,50.0,West Virginia,2014,Senate
The West Virginia Poll,2014-08-22,,4.9,40.0,45.0,West Virginia,2014,Senate
rcp_average,,,,36.7,53.3,West Virginia,2014,Senate
rcp_average,2014-10-23,,,27.0,65.0,Wyoming,2014,Senate
CBS News/NYT/YouGov,2014-10-23,258.0,11.0,27.0,67.0,Wyoming,2014,Senate
Rasmussen Reports,2014-08-21,700.0,4.0,27.0,63.0,Wyoming,2014,Senate
CBS News/NYT/YouGov,2014-10-01,264.0,7.0,17.0,75.0,Wyoming,2014,Senate
CBS News/NYT/YouGov,2014-09-02,350.0,8.0,21.0,66.0,Wyoming,2014,Senate
CBS News/NYT/YouGov,2014-07-24,,5.1,23.0,68.0,Wyoming,2014,Senate
rcp_average,,,,27.0,65.0,Wyoming,2014,Senate
