pollster,date,sampleSize,dvalue,rvalue,Year,Type
ABC News/Wash Post,2014-01-23,,46.0,45.0,2014,General Congressional
ABC News/Wash Post,2014-05-19,,40.0,48.0,2014,General Congressional
ABC News/Wash Post,2014-04-27,,44.0,45.0,2014,General Congressional
ABC News/Wash Post,2014-06-01,,45.0,47.0,2014,General Congressional
ABC News/Wash Post,2014-03-02,,45.0,46.0,2014,General Congressional
ABC News/Wash Post,2014-10-26,758.0,50.0,44.0,2014,General Congressional
ABC News/Wash Post,2014-09-07,,47.0,44.0,2014,General Congressional
ABC News/Wash Post,2014-12-15,,45.0,47.0,2014,General Congressional
ABC News/Wash Post,2014-10-20,,40.0,48.0,2014,General Congressional
ABC News/Wash Post,2014-10-12,629.0,50.0,43.0,2014,General Congressional
Associated Press/GfK,2014-10-20,968.0,40.0,32.0,2014,General Congressional
Bloomberg,2014-06-09,763.0,43.0,43.0,2014,General Congressional
CBS News,2014-10-06,575.0,49.0,43.0,2014,General Congressional
CBS News,2014-10-27,624.0,50.0,42.0,2014,General Congressional
CBS News,2014-03-23,,39.0,39.0,2014,General Congressional
CBS News,2014-08-04,,37.0,41.0,2014,General Congressional
CBS News,2014-05-19,,39.0,40.0,2014,General Congressional
CBS News/NY Times,2014-02-23,,42.0,39.0,2014,General Congressional
CBS News/NY Times,2014-06-22,,39.0,42.0,2014,General Congressional
CBS News/NY Times,2014-09-15,470.0,49.0,42.0,2014,General Congressional
CNN/Opinion Research,2014-09-07,,49.0,45.0,2014,General Congressional
CNN/Opinion Research,2014-10-20,,42.0,50.0,2014,General Congressional
CNN/Opinion Research,2014-12-19,,49.0,44.0,2014,General Congressional
CNN/Opinion Research,2014-07-20,,44.0,48.0,2014,General Congressional
CNN/Opinion Research,2014-09-28,701.0,45.0,47.0,2014,General Congressional
CNN/Opinion Research,2014-11-20,,49.0,47.0,2014,General Congressional
CNN/Opinion Research,2014-05-04,,46.0,45.0,2014,General Congressional
CNN/Opinion Research,2014-10-26,540.0,46.0,47.0,2014,General Congressional
Democracy Corps (D),2014-03-12,840.0,42.0,46.0,2014,General Congressional
Democracy Corps (D),2014-01-14,852.0,42.0,46.0,2014,General Congressional
Democracy Corps (D),2014-10-08,860.0,43.0,47.0,2014,General Congressional
Democracy Corps (D),2014-07-15,841.0,44.0,43.0,2014,General Congressional
FOX News,2014-12-16,,43.0,43.0,2014,General Congressional
FOX News,2014-09-09,833.0,47.0,40.0,2014,General Congressional
FOX News,2014-06-23,,42.0,42.0,2014,General Congressional
FOX News,2014-10-14,831.0,45.0,42.0,2014,General Congressional
FOX News,2014-11-12,,43.0,40.0,2014,General Congressional
FOX News,2014-08-12,,39.0,46.0,2014,General Congressional
FOX News,2014-07-22,,41.0,43.0,2014,General Congressional
FOX News,2014-01-21,,43.0,41.0,2014,General Congressional
FOX News,2014-09-30,845.0,47.0,40.0,2014,General Congressional
FOX News,2014-03-04,,38.0,40.0,2014,General Congressional
FOX News,2014-05-13,,40.0,43.0,2014,General Congressional
FOX News,2014-04-15,,44.0,41.0,2014,General Congressional
FOX News,2014-06-03,,43.0,39.0,2014,General Congressional
FOX News,2014-10-22,,37.0,45.0,2014,General Congressional
FOX News,2014-10-27,734.0,44.0,45.0,2014,General Congressional
GWU/Battleground,2014-01-16,1000.0,43.0,41.0,2014,General Congressional
GWU/Battleground,2014-03-20,1000.0,43.0,43.0,2014,General Congressional
GWU/Battleground,2014-10-31,1000.0,41.0,44.0,2014,General Congressional
GWU/Battleground,2014-08-28,1000.0,46.0,42.0,2014,General Congressional
Gallup,2014-09-30,,47.0,46.0,2014,General Congressional
Gallup,2014-04-30,,44.0,49.0,2014,General Congressional
Gallup,2014-08-10,,45.0,47.0,2014,General Congressional
McClatchy/Marist,2014-12-05,,43.0,43.0,2014,General Congressional
McClatchy/Marist,2014-04-10,,42.0,48.0,2014,General Congressional
McClatchy/Marist,2014-08-07,,43.0,38.0,2014,General Congressional
McClatchy/Marist,2014-02-09,,44.0,46.0,2014,General Congressional
McClatchy/Marist,2014-09-29,,44.0,45.0,2014,General Congressional
NBC News/Wall St. Jrnl,2014-10-12,666.0,48.0,47.0,2014,General Congressional
NBC News/Wall St. Jrnl,2014-11-01,826.0,48.0,48.0,2014,General Congressional
NPR/GQR/Resurgent,2014-03-23,840.0,43.0,44.0,2014,General Congressional
PPP (D),2014-10-31,,38.0,44.0,2014,General Congressional
PPP (D),2014-10-06,,41.0,46.0,2014,General Congressional
PPP (D),2014-09-26,,40.0,45.0,2014,General Congressional
PPP (D),2014-02-03,,45.0,45.0,2014,General Congressional
PPP (D),2014-12-15,,40.0,43.0,2014,General Congressional
PPP (D),2014-03-30,,42.0,46.0,2014,General Congressional
PPP (D),2014-05-09,,43.0,45.0,2014,General Congressional
PPP (D),2014-06-13,,40.0,47.0,2014,General Congressional
PPP (D),2014-03-09,,40.0,43.0,2014,General Congressional
PPP (D),2014-01-06,,41.0,47.0,2014,General Congressional
PPP (D),2014-01-26,,42.0,40.0,2014,General Congressional
Pew Research,2014-10-20,1126.0,46.0,47.0,2014,General Congressional
Pew Research,2014-07-14,,45.0,47.0,2014,General Congressional
Pew Research,2014-10-13,,43.0,49.0,2014,General Congressional
Pew Research,2014-09-09,1150.0,47.0,44.0,2014,General Congressional
Politico/GWU/Battleground,2014-12-06,1000.0,42.0,45.0,2014,General Congressional
Quinnipiac,2014-01-07,,38.0,37.0,2014,General Congressional
Quinnipiac,2014-03-31,,38.0,40.0,2014,General Congressional
Quinnipiac,2014-07-08,,34.0,39.0,2014,General Congressional
Quinnipiac,2014-05-28,,38.0,38.0,2014,General Congressional
Quinnipiac,2014-12-09,,41.0,38.0,2014,General Congressional
Quinnipiac,2014-04-29,,37.0,41.0,2014,General Congressional
Quinnipiac,2014-11-11,,39.0,39.0,2014,General Congressional
Quinnipiac,2014-04-01,,35.0,43.0,2014,General Congressional
Quinnipiac,2014-06-30,,39.0,41.0,2014,General Congressional
Quinnipiac,2014-01-19,,38.0,37.0,2014,General Congressional
Quinnipiac,2014-09-29,,34.0,43.0,2014,General Congressional
Quinnipiac,2014-07-31,,36.0,40.0,2014,General Congressional
Rasmussen Reports,2014-09-28,3500.0,39.0,40.0,2014,General Congressional
Rasmussen Reports,2014-07-13,3500.0,38.0,39.0,2014,General Congressional
Rasmussen Reports,2014-03-02,3500.0,36.0,39.0,2014,General Congressional
Rasmussen Reports,2014-10-27,3500.0,37.0,43.0,2014,General Congressional
Rasmussen Reports,2014-02-23,3500.0,37.0,41.0,2014,General Congressional
Rasmussen Reports,2014-09-07,3500.0,41.0,39.0,2014,General Congressional
Rasmussen Reports,2014-11-10,3500.0,39.0,41.0,2014,General Congressional
Rasmussen Reports,2014-08-31,3500.0,41.0,40.0,2014,General Congressional
Rasmussen Reports,2014-08-10,3500.0,40.0,39.0,2014,General Congressional
Rasmussen Reports,2014-11-24,3500.0,40.0,41.0,2014,General Congressional
Rasmussen Reports,2014-12-01,3500.0,43.0,38.0,2014,General Congressional
Rasmussen Reports,2014-12-08,3500.0,43.0,38.0,2014,General Congressional
Rasmussen Reports,2014-02-02,3500.0,40.0,39.0,2014,General Congressional
Rasmussen Reports,2014-01-26,3500.0,37.0,42.0,2014,General Congressional
Rasmussen Reports,2014-08-24,3500.0,40.0,39.0,2014,General Congressional
Rasmussen Reports,2014-10-20,3500.0,36.0,43.0,2014,General Congressional
Rasmussen Reports,2014-12-22,3500.0,42.0,39.0,2014,General Congressional
Rasmussen Reports,2014-01-05,3500.0,38.0,40.0,2014,General Congressional
Rasmussen Reports,2014-08-03,3500.0,42.0,38.0,2014,General Congressional
Rasmussen Reports,2014-01-12,3500.0,37.0,41.0,2014,General Congressional
Rasmussen Reports,2014-07-27,3500.0,39.0,41.0,2014,General Congressional
Rasmussen Reports,2014-10-06,3500.0,40.0,40.0,2014,General Congressional
Rasmussen Reports,2014-10-26,3500.0,43.0,41.0,2014,General Congressional
Rasmussen Reports,2014-12-09,3500.0,36.0,46.0,2014,General Congressional
Rasmussen Reports,2014-12-22,3500.0,38.0,44.0,2014,General Congressional
Rasmussen Reports,2014-01-06,3000.0,38.0,44.0,2014,General Congressional
Rasmussen Reports,2014-01-13,3000.0,37.0,43.0,2014,General Congressional
Rasmussen Reports,2014-01-20,3000.0,39.0,44.0,2014,General Congressional
Rasmussen Reports,2014-02-03,3000.0,38.0,44.0,2014,General Congressional
Rasmussen Reports,2014-02-10,3500.0,39.0,42.0,2014,General Congressional
Rasmussen Reports,2014-02-24,3500.0,38.0,43.0,2014,General Congressional
Rasmussen Reports,2014-03-10,3500.0,40.0,43.0,2014,General Congressional
Rasmussen Reports,2014-03-17,3500.0,38.0,43.0,2014,General Congressional
Rasmussen Reports,2014-03-31,3500.0,37.0,44.0,2014,General Congressional
Rasmussen Reports,2014-04-14,3500.0,38.0,42.0,2014,General Congressional
Rasmussen Reports,2014-04-28,3500.0,40.0,39.0,2014,General Congressional
Rasmussen Reports,2014-05-05,3500.0,38.0,40.0,2014,General Congressional
Rasmussen Reports,2014-05-11,3500.0,38.0,40.0,2014,General Congressional
Rasmussen Reports,2014-11-02,3500.0,44.0,41.0,2014,General Congressional
Rasmussen Reports,2014-06-09,3500.0,38.0,40.0,2014,General Congressional
Rasmussen Reports,2014-06-16,3500.0,39.0,39.0,2014,General Congressional
Rasmussen Reports,2014-06-30,3500.0,39.0,38.0,2014,General Congressional
Rasmussen Reports,2014-07-28,3500.0,38.0,39.0,2014,General Congressional
Rasmussen Reports,2014-08-04,3500.0,41.0,38.0,2014,General Congressional
Rasmussen Reports,2014-08-18,3500.0,38.0,38.0,2014,General Congressional
Rasmussen Reports,2014-09-01,3500.0,37.0,39.0,2014,General Congressional
Rasmussen Reports,2014-09-15,3500.0,38.0,38.0,2014,General Congressional
Rasmussen Reports,2014-09-29,3500.0,38.0,42.0,2014,General Congressional
Rasmussen Reports,2014-10-13,3500.0,38.0,45.0,2014,General Congressional
Rasmussen Reports,2014-03-23,3500.0,37.0,41.0,2014,General Congressional
Rasmussen Reports,2014-04-27,3500.0,40.0,38.0,2014,General Congressional
Rasmussen Reports,2014-03-30,3500.0,38.0,39.0,2014,General Congressional
Rasmussen Reports,2014-11-25,3500.0,40.0,45.0,2014,General Congressional
Rasmussen Reports,2014-12-16,3500.0,38.0,46.0,2014,General Congressional
Rasmussen Reports,2014-12-30,3000.0,35.0,46.0,2014,General Congressional
Rasmussen Reports,2014-12-02,3500.0,36.0,47.0,2014,General Congressional
Rasmussen Reports,2014-12-29,3500.0,40.0,40.0,2014,General Congressional
Rasmussen Reports,2014-01-27,3000.0,37.0,45.0,2014,General Congressional
Rasmussen Reports,2014-12-15,3500.0,40.0,40.0,2014,General Congressional
Rasmussen Reports,2014-02-17,3500.0,37.0,43.0,2014,General Congressional
Rasmussen Reports,2014-03-03,3500.0,40.0,43.0,2014,General Congressional
Rasmussen Reports,2014-03-24,3500.0,38.0,43.0,2014,General Congressional
Rasmussen Reports,2014-11-17,3500.0,40.0,39.0,2014,General Congressional
Rasmussen Reports,2014-04-07,3500.0,38.0,41.0,2014,General Congressional
Rasmussen Reports,2014-04-21,3500.0,39.0,41.0,2014,General Congressional
Rasmussen Reports,2014-05-19,3500.0,40.0,39.0,2014,General Congressional
Rasmussen Reports,2014-05-26,3500.0,39.0,41.0,2014,General Congressional
Rasmussen Reports,2014-06-02,3500.0,40.0,40.0,2014,General Congressional
Rasmussen Reports,2014-11-03,3500.0,37.0,43.0,2014,General Congressional
Rasmussen Reports,2014-06-23,3500.0,39.0,40.0,2014,General Congressional
Rasmussen Reports,2014-07-07,3500.0,40.0,39.0,2014,General Congressional
Rasmussen Reports,2014-07-14,3500.0,39.0,38.0,2014,General Congressional
Rasmussen Reports,2014-07-21,3500.0,38.0,40.0,2014,General Congressional
Rasmussen Reports,2014-08-11,3500.0,39.0,39.0,2014,General Congressional
Rasmussen Reports,2014-08-25,3500.0,39.0,38.0,2014,General Congressional
Rasmussen Reports,2014-09-08,3500.0,39.0,39.0,2014,General Congressional
Rasmussen Reports,2014-09-22,3500.0,37.0,40.0,2014,General Congressional
Rasmussen Reports,2014-07-06,3500.0,38.0,41.0,2014,General Congressional
Rasmussen Reports,2014-10-19,3500.0,41.0,41.0,2014,General Congressional
Rasmussen Reports,2014-11-11,3500.0,42.0,45.0,2014,General Congressional
Rasmussen Reports,2014-10-05,3500.0,39.0,41.0,2014,General Congressional
Rasmussen Reports,2014-06-22,3500.0,38.0,40.0,2014,General Congressional
Rasmussen Reports,2014-06-01,3500.0,38.0,41.0,2014,General Congressional
Rasmussen Reports,2014-05-04,3500.0,37.0,41.0,2014,General Congressional
Rasmussen Reports,2014-05-11,3500.0,38.0,40.0,2014,General Congressional
Rasmussen Reports,2014-05-18,3500.0,37.0,41.0,2014,General Congressional
Rasmussen Reports,2014-05-25,3500.0,38.0,42.0,2014,General Congressional
Rasmussen Reports,2014-04-20,3500.0,41.0,40.0,2014,General Congressional
Rasmussen Reports,2014-06-08,3500.0,37.0,41.0,2014,General Congressional
Rasmussen Reports,2014-06-15,3500.0,37.0,39.0,2014,General Congressional
Rasmussen Reports,2014-04-13,3500.0,38.0,40.0,2014,General Congressional
Rasmussen Reports,2014-06-29,3500.0,38.0,40.0,2014,General Congressional
Rasmussen Reports,2014-10-12,3500.0,40.0,40.0,2014,General Congressional
Rasmussen Reports,2014-07-20,3500.0,39.0,39.0,2014,General Congressional
Rasmussen Reports,2014-03-16,3500.0,39.0,38.0,2014,General Congressional
Rasmussen Reports,2014-03-09,3500.0,39.0,39.0,2014,General Congressional
Rasmussen Reports,2014-02-16,3500.0,37.0,41.0,2014,General Congressional
Rasmussen Reports,2014-08-17,3500.0,39.0,39.0,2014,General Congressional
Rasmussen Reports,2014-02-09,3500.0,38.0,40.0,2014,General Congressional
Rasmussen Reports,2014-09-14,3500.0,38.0,41.0,2014,General Congressional
Rasmussen Reports,2014-09-21,3500.0,40.0,40.0,2014,General Congressional
Rasmussen Reports,2014-01-19,3500.0,35.0,41.0,2014,General Congressional
Rasmussen Reports,2014-04-06,3500.0,39.0,40.0,2014,General Congressional
Rasmussen Reports,2014-11-18,3500.0,40.0,45.0,2014,General Congressional
Reason-Rupe/PSRAI,2014-03-30,,36.0,40.0,2014,General Congressional
Reason-Rupe/PSRAI,2014-08-10,,41.0,42.0,2014,General Congressional
USA Today/PSRAI,2014-10-26,697.0,42.0,43.0,2014,General Congressional
USA Today/Pew Research,2014-12-08,,44.0,48.0,2014,General Congressional
USA Today/Pew Research,2014-08-24,,42.0,47.0,2014,General Congressional
USA Today/Pew Research,2014-04-27,,47.0,43.0,2014,General Congressional
